Адрес,"""Санкт-Петербург, территория предприятия Шушары, участок 22 (Пулковский)"""
Наименование объекта,"""1 этап. Корпус 1. Многоквартирный дом со встроенными помещениями"""
Субъект Российской Федерации,"""Город Санкт-Петербург"""
Наименование населенного пункта,"""поселок Шушары"""
Наименование улицы,"""Территория предприятия Шушары, участок 22, (Пулковский)"""
Общая площадь объекта,"""18249 м2"""
Материал наружных стен и каркаса объекта,"""Иной вид материалов наружных стен и каркасов (стены крупнопанельные с утепляющим слоем из минераловатных плит, цементного фибролита)"""
Материал перекрытий,"""Сборно-монолитные железобетонные"""
Класс энергетической эффективности,"""A"""
Сумма общей площади всех жилых помещений,"""10 092,00 м2"""
Сумма общей площади всех нежилых помещений,"""1 071,00 м2"""
Сумма общей площади всех жилых и нежилых помещений,"""11 163,00 м2"""
"О генеральном подрядчике, выполняющем работы в соответствии с
 договором строительного подряда, заключенного с застройщиком","""Строительство осуществляется без привлечени генерального подрядчика"""
Дата выдачи разрешения на строительство,"""45491"""
Срок действия разрешения на строительство,"""47317"""
Вид права застройщика на земельный участок,"""Право собственности"""
"Вид договора или иного документа, являющегося основанием возникновения права застройщика на земельный участок","""Договор купли-продажи недвижимого имущества"""
"Номер договора или иного документа, являющегося основанием возникновения права застройщика на земельный участок, определяющего права застройщика на земельный участок","""Ш/06/2022"""
"Дата подписания договора или иного документа, являющегося основанием возникновения права застройщика на земельный участок, определяющего права застройщика на земельный участок","""44728"""
Собственник земельного участка,"""Застройщик"""
Площадь земельного участка,"""332 678,00 м²"""
Планируемое количество гостевых машино-мест на объекте строительства,"""111"""
Количество детских площадок,"""1"""
Количество спортивных площадок,"""1"""
Количество площадок для расположения контейнеров для сбора твердых бытовых отходов,"""2"""
Описание планируемых мероприятий по озеленению,"""Посадка декоративных кустарников, разбивка цветников, тротуары мостятся цветной бетонной плиткой"""
Соответствие требованиям по созданию безбарьерной среды для маломобильных лиц,"""Наличие понижающих площадок (понижение бордюрного камня)"""
Максимальная высота многоквартирного дома и (или) иного объекта недвижимости,"""23 м"""
"Организация, выдавшая технические условия на подключение к бытовому или общесплавному водоотведению","""Водоканал Санкт-Петербурга"""
"Организация, выдавшая технические условия на подключение к холодному водоснабжению","""Водоканал Санкт-Петербурга"""
"Организация, выдавшая технические условия на подключение к теплоснабжению","""ООО ЛСР.Энерго"""
"Организация, выдавшая технические условия на подключение к электроснабжению","""ПАО Россети Ленэнерго"""
"Организация, выдавшая технические условия на подключение к горячему водоснабжению","""ООО ЛСР.Энерго"""
"Организация, выдавшая технические условия на подключение к сети связи","""ПАО Ростелеком"""
О примерном графике реализации проекта строительства,"""2 квартал 2025 г. - 20% готовности
 4 квартал 2025 г. - 40% готовности
 2 квартал 2026 г. - 60% готовности
 3 квартал 2026 г. - 80% готовности
 4 квартал 2026 г. - получение разрешения на ввод в эксплуатацию объекта недвижимости
 31.12.2027 - первоначальная дата передачи застройщиком объекта долевого строительства"""
Планируемый способ обеспечения обязательств застройщика по договорам участия в долевом строительстве,"""Счета эскроу"""
"О банке, в котором участниками долевого строительства открыты счета эскроу","""СЕВЕРО-ЗАПАДНЫЙ БАНК - ФИЛИАЛ ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА СБЕРБАНК РОССИИ"""
Общее количество грузопассажирских лифтов (грузоподъемностью не менее 1000 кг),"""8"""
Количество жилых помещений,"""300"""
Количество нежилых помещений,"""149"""
Количество подъездов,"""8"""
Общее количество этажей,"""5"""
"Количество этажей, где располагаются жилые помещения","""4 (с 1 по 4 этаж)"""
Высота потолков,"""от 2,57 м до 3,39 м"""
Номера квартир с переменной проектной высотой потолков,"""18 от 2,97 до 4,17; 19 от 2,77 до 3,69; 20, 21 от 3,00 до 3,68; 22 от 2,85 до 3,63; 23 от 3,05 до 3,88; 24 от 2,78 до 5,55; 25 от 2,61 до 5,67; 67 от 2,65 до 3,52; 68 от 2,65 до 3,47; 69 от 3,05 до 3,98; 70 от 3,05 до 3,97; 71, 72,73 от 2,70 до 5,70; 74 от 2,64 до 5,60; 75 от 2,65 до 3,60; 76,77,119 от 2,65 до 3,47; 120 от 2,65 до 3,52; 121 от 2,65 до 3,60; 122 от 2,64 до 5,60; 123,124,125 от 2,70 до 5,70; 126 от 3,05 до 3,97; 127 от 3,05 до 3,98; 128 от 2,65 до 3,47; 129 от 2,65 до 3,52; 141 от 2,75 до 4,37; 148 от 3,39 до 4,06; 149 от 2,84 до 5,83; 150 от 2,57 до 6,00; 151 от 2,63 до 5,58; 152 от 2,88 до 4,36; 170 от 2,75 до 4,37; 171 от 2,88 до 4,36; 172 от 2,97 до 3,74; 173 от 3,39 до 4,46; 174,175 от 3,22 до 3,77; 176 от 3,39 до 4,06; 209 от 2,65 до 3,52; 210 от 2,65 до 3,47; 211 от 3,05 до 3,95; 212 от 3,05 до 3,97; 213, 214, 215,216 от 2,83 до 3,58; 217 от 3,05 до 3,81; 218 от 2,88 до 4,36; 219 от 2,65 до 3,47; 261 от 2,65 до 3,52; 262 от 2,65 до 3,47; 263 от 3,05 до 3,98; 264 от 3,05 до 3,97; 265 от 3,05 до 3,88; 266,267,268,269 от 2,83 до 3,58; 270 от 3,05 до 3,81; 271 от 3,05 до 3,95; 272 от 2,65 до 3,47; 273 от 2,65 до 3,52; 274 от 2,65 до 3,47; 292 от 2,83 до 3,88; 293, 294 от 2,83 до 3,58; 295 от 3,05 до 3,88; 296 от 2,85 до 3,63; 297,298 от 3,00 до 3,68; 299 от 2,77 до 3,69; 300 от 2,97 до 4,17"""
Общая жилая площадь (кв.м) 1 комнатных квартир,"""от 10 кв.м. до 22,1 кв.м."""
Общая жилая площадь (кв.м) 2 комнатных квартир,"""от 22,3 кв.м. до 38,8 кв.м."""
Общая жилая площадь (кв.м) 3 комнатных квартир,"""от 32,8 кв.м. до 36,5 кв.м."""
Общая жилая площадь (кв.м) квартир-студий,"""от 10 кв.м. до 13,3 кв.м."""
Общая площадь (кв.м) 1 комнатных квартир,"""от 33,6 кв.м. до 54,1 кв.м."""
Общая площадь (кв.м) 2 комнатных квартир,"""от 36,7 кв.м. до 73,2 кв.м."""
Общая площадь (кв.м) 3 комнатных квартир,"""от 66 кв.м. до 78 кв.м."""
Общая площадь (кв.м) квартир-студий,"""от 21,4 кв.м. до 27,8 кв.м."""
Количество 1 комнатных квартир,"""111"""
Количество 2 комнатных квартир,"""42"""
Количество 3 комнатных квартир,"""8"""
Количество квартир-студий,"""139"""
Расположение 1 комнатных квартир,"""с 1 по 4 этаж"""
Расположение 2 комнатных квартир,"""с 1 по 4 этаж"""
Расположение 3 комнатных квартир,"""со 2 по 4 этаж"""
Расположение квартир-студий,"""с 1 по 4 этаж"""
Количество нежилых помещений - кладовых,"""143"""
Расположение нежилых помещений - кладовых,"""-1 этаж во всех подъездах"""
Площадь нежилых помещений - кладовых,"""от 2,9 кв.м. до 5 кв.м."""
Количество нежилых помещений - помещений для коммерческого использования,"""6"""
Расположение нежилых помещений - помещений для коммерческого использования,"""1 этаж в 1 и 8 подъезде"""
Площадь нежилых помещений - помещений для коммерческого использования,"""от 74,7 кв.м. до 96,3 кв.м."""
Высота потолков нежилых помещений - помещений для коммерческого использования,"""3,34 м"""